smiles,logS
BrC(Br)(Br)Br,-3.14
BrC(Br)Br,-1.91
BrC1CCCCC1,-2.3
BrC=CBr,-1.32
BrCBr,-1.17
BrCCBr,-1.68
BrCCCBr,-2.08
Brc1ccc(Br)c(Br)c1,-4.5
Brc1ccc(Br)cc1,-4.07
Brc1ccc2ccccc2c1,-4.4
Brc1cccc(Br)c1,-3.54
Brc1cccc(Br)c1Br,-5.04
Brc1cccc2ccccc12,-4.35
Brc1ccccc1,-2.55
Brc1ccccc1Br,-3.5
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.57
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79
C#CCCC,-1.64
C#CCCCC,-2.36
C#CCCCCC,-3.01
C#CCCCCCC,-3.66
C#CCCCCCCC,-4.24
C1=CC=CCC=C1,-2.15
C1=CCC=CC1,-1.97
C1=CCCC1,-2.1
C1=CCCCC1,-2.59
C1=Cc2cccc3cccc1c23,-3.96
C1CCCC1,-2.64
C1CCCCC1,-3.1
C1CCCCCC1,-3.52
C1CCCCCCC1,-4.15
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89
C1CCNC1,1.15
C1CCNCC1,1.07
C1CCOC1,0.56
C1CCOCC1,-0.03
C1CNCCN1,1.07
C1COCCN1,1.06
C=C(C(=O)O)c1ccccc1,-2.06
C=C(C)C(=O)O,0.01
C=C(C)C(=O)OC,-0.8
C=C(C)C1CC=C(C)C(=O)C1,-2.06
C=C(C)C1CC=C(C)CC1,-4.0
C=C(C)C1CCC(C)C(=O)C1,-2.18
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
C=C(Cl)CSC(=S)N(CC)CC,-3.39
C=C(Cl)Cl,-1.64
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84
C=CC#N,0.15
C=CC(=C)C,-2.03
C=CC(=O)CCC,-0.83
C=CC(=O)OC,-0.22
C=CC(=O)OCC,-0.74
C=CC(=O)OCC(C)C,-1.21
C=CC(C)(O)CCC=C(C)C,-1.99
C=CC(N)=O,0.96
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.06
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.08
C=CC=C,-1.87
C=CC=O,0.57
C=CCBr,-1.5
C=CCC(C)C,-3.24
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.18
C=CCC=C,-2.09
C=CCCC,-2.68
C=CCCC=C,-2.68
C=CCCCC,-3.23
C=CCCCCCC,-4.44
C=CCCCCCCC,-5.05
C=CCCCCCCCCC(=O)O,-3.4
C=CCCl,-1.36
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62
