smiles,logS
CCNc1nc(NC(C)(C)C)nc(SC)n1,-3.99
OCCN(CCO)c1ccccc1,-0.73
c1cc[nH]c1,-0.17
CC(C)CC(C)(C)O,-0.93
Cc1ccc2c(ccc3ccccc32)c1,-5.84
CCCCCCCCCO,-3.01
CCCC(=O)OC,-1.19
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99
O=CNc1ccccc1,-0.68
O=Cc1ccc(O)cc1,-0.97
CCCC(C)O,-0.29
CCOC(=O)CCC(=O)OCC,-0.96
CCCCCCCOC(=O)c1ccc(N)cc1,-4.6
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.49
Cc1cccnc1C,0.38
S=C1NCCN1,-0.71
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.36
Clc1cccc(Br)c1,-3.21
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.95
CCCCCCCCCCCCCCCC(=O)O,-6.81
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CNC(=O)Oc1ccccc1C(C)C,-2.77
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.58
CC(=O)C(C)C,-0.14
ClC(Cl)=C(Cl)Cl,-2.67
Nc1ccc(Cc2ccc(N)cc2)cc1,-2.3
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
Nc1ccc(-c2ccc(N)cc2)cc1,-2.72
ClCBr,-0.89
CN(C)C,1.01
CCOc1ccc(NC(C)=O)cc1,-2.36
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.94
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.53
Oc1ncnc2[nH]ncc12,-2.38
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24
O=[N+]([O-])c1ccc(O)cc1,-0.85
CCCCCOC(C)=O,-1.89
CCCCOC,-0.99
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-3.98
CCCCc1c(C)nc(N(C)C)nc1O,-2.24
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54
CCOC(=O)c1ccccc1,-2.32
CCC(C)(O)CC,-0.37
CC(N)=O,1.58
C=CCCl,-1.62
c1ccc(Nc2ccccc2)cc1,-3.51
Cc1cnc2cncnc2n1,-0.4
Fc1cccc(F)c1,-2.0
CC(C)O,0.83
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59
CCCC(CCC)C(=O)O,-1.86
CC(C)CCCO,-1.14
CCCCc1c(C)nc(NCC)nc1O,-3.02
OCc1c(Cl)cccc1Cl,-2.1
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.07
c1ccc(NNc2ccccc2)cc1,-2.92
c1ccc2c(c1)sc1ccccc12,-4.62
c1cnc2c(c1)ccc1ncccc12,-2.68
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CCCCl,-1.47
CC1CCCCC1,-3.83
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.98
Cc1cc(C)c(O)c(C)c1,-2.05
Cc1cccc(O)c1C,-1.43
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.11
NC(=O)NCc1ccccc1,-0.95
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4
CCNC(=O)C(C)OC(=O)Nc1ccccc1,-1.83
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.67
O=C(O)c1cc(O)c(O)c(O)c1,-1.16
Cc1cc(C)cc(C)c1,-3.4
Cc1cccc(C(=O)O)c1,-2.14
CC(C)CCl,-2.0
C=CCCCCCCC,-5.05
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
C1CCOC1,0.73
CCCC(C)(COC(N)=O)COC(N)=O,-1.71
Clc1cccc(I)c1,-3.54
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.98
CCCCC(C)CC,-5.16
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4
COP(=O)(NC(C)=O)SC,0.59
c1ccc2c(c1)CCC2,-3.04
c1ccc2c(c1)ccc1ncccc12,-3.36
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
OCC1OC(O)C(O)C(O)C1O,0.74
Cc1ccccc1N,-1.29
ClC=CCl,-1.37
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.07
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84
COc1ccc2cc(C(C)C(=O)O)ccc2c1,-4.16
Cc1cccc2c(C)cccc12,-4.73
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96
Cc1cc(Cl)ccc1OCC(=O)O,-2.37
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
C#CCCCCCC,-3.66
Cc1ccccc1C(=O)O,-2.06
O=[N+]([O-])C(Cl)(Cl)Cl,-2.0
c1cc(-c2ccncc2)ccn1,-1.54
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.55
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-2.39
Cc1ccc(C(C)C)cc1O,-2.08
Cc1cc(=O)[nH]c(=S)[nH]1,-2.43
C=CCC=C,-2.09
C=C(C)CC,-2.73
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7
CCS,-0.6
N#Cc1cc(I)c(O)c(I)c1,-3.61
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23
c1ccc2c(c1)Oc1ccccc1O2,-5.31
CCC(C)(C)O,0.11
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.52
CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24
OC(c1ccccc1)C(O)c1ccccc1,-1.93
CCCCCCOC(C)=O,-2.46
CCCCCCCC=O,-2.36
CC=CC=O,0.32
Cc1ccc(C)cc1,-2.79
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.79
Clc1cccc(Cl)c1-c1ccccc1,-5.13
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02
OCc1ccccc1O,-0.29
O=C(Nc1ccccc1)c1ccccc1O,-3.59
Cn1ccc(=O)[nH]c1=O,-0.8
CCO,1.22
C=CCC(C)C,-3.24
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.233
O=C(O)c1ccccc1,-1.6
C=CC(=O)OCC,-0.78
O=C(O)C=Cc1c[nH]cn1,-1.96
CCCOC(C)C,-1.34
C#CCCCC,-2.33
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.17
CCCCC(C)O,-0.88
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.6
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09
COc1ccccc1[N+](=O)[O-],-1.96
CCCC(C)(C)C,-4.36
CCCC(C)CO,-1.15
CCN(CC)CC,-0.14
Cc1ccc(S(N)(=O)=O)cc1,-1.74
CC(Cl)(Cl)Cl,-1.98
Oc1cccc2ncccc12,-2.54
CSC,-0.72
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.01
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
Clc1ccc(Br)cc1,-3.63
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
CNc1ccccc1C(=O)O,-2.88
CCCNCCC,-0.35
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.47
O=C(O)c1ccccc1O,-1.81
CC(=O)Nc1cccc(C)c1,-2.09
CCCCOC(=O)c1ccccc1,-3.48
O=C(O)c1cccc(Cl)c1,-2.57
Cc1ccnc(C)c1,0.42
C1CCCCCCC1,-4.15
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,-3.83
CCCCNCCCC,-1.44
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
Cc1ccc(C)c2ccccc12,-4.14
Cc1ccc([N+](=O)[O-])cc1,-2.49
CCCCOCCCC,-2.11
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.68
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,-6.62
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.57
CCC(C)CCO,-1.04
c1ccc2scnc2c1,-1.5
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.04
CNC(=O)Oc1cccc2ccccc12,-3.3
ClC(Cl)Br,-1.6
CCCCCCCI,-4.81
CCCCCC(=O)OC,-1.95
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4
C=CCCCO,-0.16
CCCCCCCCCCCCCC,-7.71
CCCC(C)Cl,-2.63
CCC(=O)c1ccccc1,-1.83
O=C(O)c1cccc([N+](=O)[O-])c1,-1.67
NC(=O)NO,1.12
COC(=O)C1=CCCN(C)C1,0.81
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.76
CC(=O)Nc1ccccc1Cl,-1.4
CCOP(=S)(OCC)SCCSCC,-4.23
O=C(O)CCl,0.93
O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-3.85
Cc1ncc2nccnc2n1,-0.12
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.61
CCCC(C)=O,-0.23
CC(C)c1ccccc1,-3.28
C=CC(=C)C,-2.03
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
CCCCCC(C)O,-1.55
Cc1cc(C)c2ccccc2n1,-1.94
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.23
Nc1ccccc1O,-0.73
CCCCC(C)(C)O,-1.08
FC(F)(F)c1ccccc1,-2.51
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,-4.883
CN(C)C(=O)N(C)C,0.94
CCNc1ccccc1,-1.7
Cn1ccccc1=O,0.96
CN(C)C(=S)SSC(=S)N(C)C,-3.9
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.65
CC(=O)CC(C)=O,0.22
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46
Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.82
CCCCCC(C)(C)O,-1.72
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.32
ClCC(Br)CBr,-2.38
CCCCOC(=O)c1ccc(N)cc1,-2.92
c1ccoc1,-0.82
Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2
CCCCCC(C)=O,-1.43
BrC1CCCCC1,-2.3
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02
COc1ncc2nccnc2n1,-1.11
Clc1ccc(-c2ccccc2)c(Cl)c1,-5.27
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.99
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13
Cc1ccccc1S(N)(=O)=O,-2.02
Cc1cccc2ccccc12,-3.71
Nc1ccc(C(=O)O)cc1,-0.88
CC(C)I,-2.09
CCC(C)(C)Cl,-2.51
FC(F)(F)C(Cl)Br,-1.71
c1cncnc1,1.1
COC=O,0.62
CC(C)Br,-1.6
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.59
CC(=O)c1ccc(N)cc1,-1.61
CCCC(C)C,-3.74
C=CCc1ccc(OC)cc1,-2.92
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.18
Brc1ccc(Br)c(Br)c1,-4.5
C=CCCC,-2.68
ClCC(Cl)Cl,-1.48
O=C(O)COc1ccccc1,-1.1
CCc1ccc2cc3ccccc3cc2c1,-6.89
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.8
CCCCBr,-2.31
CCOC=O,0.13
Cc1ccc2ccc(C)nc2c1,-1.94
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.66
CC(=O)CCC(C)C,-1.33
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.75
Cc1c2ccccc2cc2ccccc12,-5.88
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95
Fc1ccccc1Br,-2.7
CCCCCCN,-1.01
Cc1cccc2c1ccc1ccccc12,-5.85
O=C1C=CC(=O)C=C1,-0.99
c1ccc2c(c1)oc1ccccc12,-4.64
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.31
Cc1cc(Cl)ccc1N=CN(C)C,-2.86
c1ccsc1,-1.41
CCCCCC(=O)O,-1.06
CCC1CCCCC1,-4.25
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003
c1ccc2c(c1)-c1cccc3cccc-2c13,-5.96
COc1ccccc1O,-1.58
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.632
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
NC(N)=S,0.3
CCCC(C)(O)CC,-0.99
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
COc1cnc2cncnc2n1,-0.91
C1=CCCCCC1,-3.17
OCc1ccccc1,-0.41
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.99
Oc1ccc(Cl)cc1Cl,-1.55
C=CC=O,0.57
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-5.91
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
CC(C)C(C)(C)O,-0.41
CCc1ccc(CC)cc1,-3.74
Nc1cc[nH]c(=O)n1,-1.15
Clc1ccccc1Br,-3.19
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37
CC(=O)Nc1ccc(Cl)cc1,-2.84
Sc1nc2ccccc2s1,-3.18
OC1CCCCC1,-0.42
CC1=CC(=O)c2ccccc2C1=O,-3.03
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27
Cc1ccsc1,-2.39
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43
C=CCC,-2.17
O=c1[nH]cc(F)c(=O)[nH]1,-1.07
BrCCCBr,-2.08
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
N#Cc1cc(Br)c(O)c(Br)c1,-3.33
CCCCCCCl,-3.12
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,-6.17
c1cnc2ncncc2n1,0.02
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18
CC(C)C(C)C(C)C,-4.75
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.24
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36
O=[N+]([O-])c1cccc(Cl)c1,-2.77
C=C(C)CCC,-3.03
O=C1CNC(=O)N1,-0.4
CCCCCCCCCC(C)O,-2.94
Oc1ccccn1,1.02
Cc1ccc(Br)cc1,-3.19
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.06
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92
c1ccc2[nH]ccc2c1,-1.52
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61
CC(=O)Nc1ccc(F)cc1,-1.78
O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21,-5.03
ClCCl,-0.69
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.79
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.51
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.65
ClCCOCCCl,-1.02
Cc1ccc(-c2ccccc2)cc1,-4.62
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-3.1
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69
c1ccnnc1,1.1
COC(C)(C)C,-0.24
Cc1ccc(C)c(O)c1,-1.54
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.15
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91
NNc1ccccc1,0.07
CC1CCCCC1C,-4.19
CCC(=O)c1ccc(N)cc1,-2.63
CCCOC=O,-0.53
c1ccc(-c2ccccc2)cc1,-4.33
c1ccc2[nH]nnc2c1,-0.78
OCC(O)C(O)CO,0.7
COC(=O)c1ccc(OC)cc1,-2.41
CCC#N,0.28
O=C(O)CCCCCCCC(=O)O,-1.89
CCCCCCCCCCCC(=O)OC,-4.69
CCOCC,-0.09
