smiles,logS
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7075
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.458
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.303999999999999
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.321
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.0
O=P1(N(CCCl)CCCl)NCCCO1,-0.815
CC(O)C(=O)O,1.045
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.241
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.054
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.209
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.809
O=C(O)c1c(Cl)ccc(Cl)c1Cl,-1.467
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.192
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.812
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,-2.227
CNCCCN1c2ccccc2CCc2ccccc21,-3.658
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-4.456
CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.187
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.097
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.702
CC(=O)Oc1ccccc1C(=O)O,-1.5930000000000002
O=C1OC(C(O)CO)C(O)=C1O,0.3165
O=C(O)c1ccc(Cl)cc1Cl,-2.603
O=c1[nH]cc(F)c(=O)[nH]1,-1.069
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-1.819
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.504
O=C(O)c1cc(Cl)cc(Cl)c1,-3.114
O=C(O)c1ccc(Cl)c(Cl)c1,-3.495
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.119
NCCc1ccc(O)cc1,-1.12
CCOC(N)=O,0.731
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.784
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.277
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.369
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.169
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.061
O=[N+]([O-])C(Br)(CO)CO,0.0969999999999999
NC1(C(=O)O)CCCC1,-0.412
CC(C)(S)C(N)C(=O)O,-0.128
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.331
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.428999999999999
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.505
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.402
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.122
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.048
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,-4.625
CN1CCCC1c1cccnc1,0.79
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.656
NNC(=O)c1ccncc1,0.009
CCN(CC)N=O,0.016
NC(=O)c1ccccc1,-0.953
O=C(O)c1ccncc1,-1.374
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.569
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.216
NCCCC(=O)O,1.101
ClC(Cl)(Cl)Cl,-2.2880000000000003
CC12C(=O)OC(=O)C1(C)C1CCC2O1,-3.816
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,-2.735
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.649
NCC(=O)O,0.521
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,-7.966
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.35
c1ccc2cc3c(ccc4ccccc43)cc2c1,-7.385
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.384
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.111
OCC(O)CO,1.036
NC(CC(=O)O)C(=O)O,-0.318
NC(=O)CCC(N)C(=O)O,-0.5489999999999999
NC(CCC(=O)O)C(=O)O,-1.235
C=CCN=C=S,-1.695
CCCCCCCCCCCCCCCC(=O)O,-6.807
NC(N)=O,0.958
CN(C)N,1.221
CC(C)(O)C(Cl)(Cl)Cl,-1.346
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.897
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.885
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.574
CCC1(CC)C(=O)NC(=O)NC1=O,-1.393
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.7879999999999999
CCCC(C)(COC(N)=O)COC(N)=O,-1.6669999999999998
CC(O)CO,1.119
O=C1CCO1,0.711
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.419
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.268
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.864
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.553
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.367000000000001
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-6.624
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.966
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.629
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.95
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-4.091
CC1=CC(=O)c2ccccc2C1=O,-3.032
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.397
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.155
CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.302
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.389
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23
O=C(O)CCCCC1SCC2NC(=O)NC21,-3.0460000000000003
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-5.0775000000000015
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-4.004
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.615
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.0460000000000003
CCN(CC)C(=O)c1cccnc1,0.7490000000000001
O=c1ccc2ccccc2[nH]1,-2.139
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,-4.603
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.398
Cc1ccccc1OCC(O)CO,-1.189
OCC(S)CS,-0.155
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.356
O=C(O)c1cccnc1,-0.835
O=NN1CCOCC1,0.935
NC(Cc1ccc(O)c(O)c1)C(=O)O,-1.596
Nc1ccc(N=Nc2ccccc2)cc1,-3.181
CN(C)c1ccc(N=Nc2ccccc2)cc1,-5.9910000000000005
OCCc1ccccc1,-0.741
NC(Cc1ccc(O)cc1)C(=O)O,-2.5780000000000003
CN1CC(=O)NC1=N,-0.15
CCOCC,-0.089
NCCCCCC(=O)O,0.585
CNN,1.337
CC(N)=O,1.581
CNC(=O)CSP(=S)(OC)OC,-0.962
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.237
Cc1cc(=O)n(-c2ccccc2)n1C,-0.564
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,-2.64
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.26
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,-4.215
O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.217
CC(C)CC(N)C(=O)O,-0.785
O=C(O)c1ccc([N+](=O)[O-])cc1,-2.922
CCOc1ccc(NC(C)=O)cc1,-2.369
CCOS(C)(=O)=O,0.402
Nc1ccccc1,-0.413
CC(N)=S,0.336
NC(N)=S,0.271
COP(=O)(OC)OC=C(Cl)Cl,-1.344
CN(C)N=O,1.13
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.695
CNC(=O)Oc1cccc2ccccc12,-3.387
CSCCC(N)C(=O)O,-0.421
Nc1ccc(S(N)(=O)=O)cc1,-1.361
COC(=O)C1=CCCN(C)C1,0.809
CCO,1.337
O=CO,1.337
CC(=O)O,1.221
CCC(C)C(C)(COC(N)=O)COC(N)=O,-2.366
CCOS(=O)(=O)OCC,-1.3430000000000002
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.394
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.745
NC(=O)c1ccccc1O,-1.823
Nc1ccc(C(=O)O)c(O)c1,-1.957
Cc1c[nH]c(=O)[nH]c1=O,-1.519
O=C(O)c1ccccc1,-1.655
O=C(O)c1cc(O)nc(O)n1,-1.933
O=c1cc[nH]c(=O)[nH]1,-1.493
CCCCCC=O,-1.249
c1cnc2c(c1)ccc1cccnc12,-1.826
